"zipcode","centile","superzip","rank","city","state","adultpop","households","college","income","State","Congressional.District"
"203",1701,93.02638,0,1070,"Framingham","MA",22729,8706,"49.78222%",109.641,25,5
"204",1702,70.60644,0,4401,"Framingham","MA",24263,7940,"35.30066%",67.1348,25,5
"205",1718,98.48111,1,NA,"Village of Nagog Woods","MA",302,117,"76.82119%",123.9108,25,3
"206",1719,98.87241,1,188,"Boxborough","MA",3115,1296,"72.13483%",144.584,25,3
"207",1720,98.63803,1,231,"Acton","MA",13148,5399,"69.13599%",141.6876,25,3
"208",1721,90.23191,0,1477,"Ashland","MA",10282,4072,"45.58452%",101.4841,25,5
"209",1730,96.90308,1,506,"Bedford","MA",9078,3456,"57.31438%",132.1735,25,6
"210",1730,96.90308,1,506,"Bedford","MA",9078,3456,"57.31438%",132.1735,25,5
"211",1731,82.1541,0,2649,"Hanscom AFB","MA",1507,790,"50.76311%",65.57222,25,5
"212",1731,82.1541,0,2649,"Hanscom AFB","MA",1507,790,"50.76311%",65.57222,25,6
"213",1740,98.54984,1,244,"Bolton","MA",2768,1193,"67.30492%",142.4852,25,3
"214",1741,99.85757,1,39,"Carlisle","MA",3146,1406,"83.4075%",186.1369,25,3
"215",1742,98.79735,1,203,"Concord","MA",12102,4451,"66.10478%",151.7509,25,3
"216",1745,94.12546,0,NA,"Fayville","MA",285,95,"36.49123%",140.5997,25,5
"217",1746,93.47125,0,1006,"Holliston","MA",9017,3835,"50.79294%",110.9865,25,5
"218",1747,76.97213,0,3436,"Hopedale","MA",3978,1531,"28.60734%",90.79321,25,4
"219",1748,97.091,1,478,"Hopkinton","MA",8401,3670,"57.69551%",134.0944,25,4
"220",1749,77.24957,0,3396,"Hudson","MA",12563,4880,"28.40086%",91.7216,25,3
"221",1752,82.2714,0,2630,"Marlborough","MA",25512,9374,"35.60677%",92.03542,25,3
"222",1754,84.5,0,2284,"Maynard","MA",7409,2806,"38.21028%",93.98375,25,3
"223",1756,86.23654,0,2029,"Mendon","MA",3472,1475,"35.8871%",103.7411,25,2
"224",1757,69.12974,0,4635,"Milford","MA",18560,7316,"26.55711%",79.54,25,2
"225",1757,69.12974,0,4635,"Milford","MA",18560,7316,"26.55711%",79.54,25,4
"226",1760,93.95129,0,938,"Natick","MA",23034,8544,"52.49197%",111.9528,25,5
"227",1770,99.58034,1,76,"Sherborn","MA",2728,1233,"75.62317%",178.1095,25,5
"228",1772,98.89675,1,184,"Southborough","MA",5343,2322,"64.47688%",158.6694,25,5
"229",1773,99.5876,1,74,"Lincoln","MA",3659,1489,"76.93359%",175.9637,25,3
"230",1773,99.5876,1,74,"Lincoln","MA",3659,1489,"76.93359%",175.9637,25,5
"231",1775,97.5804,1,400,"Stow","MA",3962,1682,"61.8627%",134.0682,25,3
"232",1776,99.3467,1,110,"Sudbury","MA",10824,4836,"71.88655%",170.5097,25,5
"233",1776,99.3467,1,110,"Sudbury","MA",10824,4836,"71.88655%",170.5097,25,3
"234",1778,98.84517,1,192,"Wayland","MA",9075,3754,"68.48485%",150.0876,25,5
"235",1801,75.79996,0,3634,"Woburn","MA",26829,9695,"29.46066%",86.77757,25,5
"236",1801,75.79996,0,3634,"Woburn","MA",26829,9695,"29.46066%",86.77757,25,6
"237",1803,90.39428,0,1454,"Burlington","MA",16020,6428,"42.61548%",107.3173,25,6
"238",1810,97.8401,1,362,"Andover","MA",20897,8594,"62.50658%",137.0626,25,3
"239",1810,97.8401,1,362,"Andover","MA",20897,8594,"62.50658%",137.0626,25,6
"240",1821,74.58734,0,3800,"Billerica","MA",19531,7972,"23.74174%",94.2675,25,6
"241",1824,92.0985,0,1193,"Chelmsford","MA",17723,7076,"45.28579%",112.8485,25,3
"242",1826,66.37992,0,5074,"Dracut","MA",19175,7756,"20.13038%",85.82171,25,3
"243",1827,93.30484,0,1033,"Dunstable","MA",1830,800,"44.20765%",120.8667,25,3
"244",1830,63.77775,0,5518,"Haverhill","MA",16357,5852,"21.2753%",79.54,25,3
"245",1832,59.96487,0,6189,"Haverhill","MA",14118,5621,"22.11361%",72.70387,25,3
"246",1833,87.58149,0,1838,"Georgetown","MA",4869,2013,"38.40624%",104.149,25,6
"247",1834,83.00663,0,2508,"Groveland","MA",3956,1743,"34.15066%",96.75717,25,6
"248",1835,73.65326,0,3950,"Haverhill","MA",8879,3493,"29.3051%",82.74362,25,3
"249",1840,0.9885919,0,23605,"Lawrence","MA",2904,922,"8.19559%",25.66819,25,3
"250",1841,4.979876,0,22255,"Lawrence","MA",23978,10276,"8.42022%",38.17277,25,3
"251",1843,24.56973,0,14982,"Lawrence","MA",14011,5758,"12.99693%",52.91465,25,3
"252",1844,64.61893,0,5367,"Methuen","MA",30009,11635,"22.94645%",78.13695,25,3
"253",1845,94.46026,0,866,"North Andover","MA",17672,7012,"50.31689%",119.1289,25,6
"254",1850,31.26174,0,12927,"Lowell","MA",9561,3824,"14.54869%",55.65015,25,3
"255",1851,48.50694,0,8580,"Lowell","MA",17759,6930,"20.27141%",61.5082,25,3
